epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,-131.72944399414064,-542.6789600952148,410949.49674375,410.94951715087893,-8.284041980075836,-8.194170682382584,-1229.3358251953125,-1313.601357421875,84265.53375,84.265537109375,-13.748505783081054,-13.736430702209473,0.15550127863883972,0.14306181967258452
2,-1712.269518408203,-1796.5870958984376,84317.574021875,84.31757814636231,-14.424696027374267,-14.368663347625732,-2295.249013671875,-2326.2728125,31023.81390625,31.023815307617188,-18.190297088623048,-18.14505241394043,0.047360822558403015,0.023943224176764488
3,-2328.4207126953124,-2365.1609810546875,36740.2658359375,36.740267553710936,-17.617182843017577,-17.56945905456543,-2874.788818359375,-2894.47583984375,19687.01390625,19.687014923095703,-20.234539337158203,-20.21689682006836,0.02341969057917595,0.006785105857998133
4,-2723.2134251953125,-2748.8703451171873,25656.91734453125,25.656918517303467,-19.18499017486572,-19.13299405670166,-2950.48080078125,-2967.16251953125,16681.713125,16.68171401977539,-20.70318328857422,-20.66800910949707,0.014953261464834213,0.0032656748034060002
5,-2932.038824609375,-2953.665552734375,21626.72615703125,21.62672723236084,-19.911516290283203,-19.856883526611327,-3317.152783203125,-3329.69740234375,12544.617890625,12.544618453979492,-22.119318542480467,-22.104183197021484,0.00897861149162054,0.0015661595342680813
6,-3107.233462890625,-3126.1575212890625,18924.0572046875,18.9240581161499,-20.551916494750976,-20.496530209350585,-3443.645361328125,-3454.4340234375,10788.667890625,10.788668403625488,-22.743435592651366,-22.807997512817384,0.00705181147903204,0.0010992180090397597
7,-3297.299424609375,-3313.29728828125,15997.86198046875,15.997862732696532,-21.236187249755858,-21.178754647827148,-3783.058857421875,-3791.46365234375,8404.7696484375,8.404770011901855,-23.942633819580077,-23.929143142700195,0.005051274970173836,0.0006832335377112031
8,-3398.94347578125,-3414.022109375,15078.636203125,15.078636932373048,-21.55461491088867,-21.49716611633301,-3812.988203125,-3821.461435546875,8473.2271875,8.473227615356445,-23.79921081542969,-23.81443664550781,0.0040486898459494115,0.0004958633496426046
9,-3551.850185546875,-3565.2160515625,13365.86471171875,13.365865344238282,-22.142755776977538,-22.088628970336913,-4251.7927734375,-4257.3351171875,5542.475390625,5.542475662231445,-25.690809020996095,-25.644569396972656,0.003509860970079899,0.0003934553673025221
10,-3705.613762109375,-3717.370040234375,11756.280249609375,11.756280813217163,-22.657424154663087,-22.600318029785157,-3386.179873046875,-3400.9712109375,14791.350625,14.791351318359375,-21.245860977172853,-21.19264877319336,0.003144877329468727,0.0003302468208130449
