condition,epoch,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg,experiment,requested_snr_db,measured_snr_db_mean,measured_snr_db_std
A Clean->Clean,10,ID-Easy 20 ns,20.0,200,-21.34355812072754,-21.291725845336913,0.07910209149122238,0.19997075200080872,9.608957290649414,0.5504461526870728,2073.415283203125,1.5619755983352661,24.415353775024414,1.5619755983352661,0.0033072305377572775,0.008369706571102142,0.0003506937937345356,0.000892775715328753,0.3505394458770752,0.17791618406772614,0.3537874221801758,0.1504221260547638,-3460.15298828125,15453.2158203125,15.453216552734375,,,,
A Clean->Clean,10,ID-Hard 80 ns,80.0,200,-21.25578903198242,-21.20258544921875,0.0771489292383194,0.1930667757987976,9.611016273498535,0.38313034176826477,2073.490966796875,1.0631064176559448,24.491085052490234,1.0631064176559448,0.0031784172169864178,0.007956239394843578,0.00033335137413814664,0.0008364035747945309,0.33437415957450867,0.17293526232242584,0.3340632915496826,0.14653484523296356,-3316.82259765625,15469.634609375,15.46963508605957,,,,
A Clean->Clean,10,OOD-Far 1 ms,1000000.0,200,2.311666717529297,2.5855970668792723,0.09412787854671478,0.21615073084831238,9.048776626586914,0.4127209186553955,2071.937744140625,1.1058871746063232,22.93761444091797,1.1058871746063232,0.004148912150412798,0.009554722346365452,0.0004635307705029845,0.001073277904652059,0.019231675192713737,0.1278872787952423,0.021835673600435257,0.12935349345207214,2786.57056640625,3649740.68,3649.740849609375,,,,
A Clean->Clean,10,OOD-Near 120 ns,120.0,200,-20.432003479003907,-20.356968688964844,0.0773637667298317,0.19478990137577057,9.603812217712402,0.36989834904670715,2073.48193359375,0.9755433201789856,24.48199462890625,0.9755433201789856,0.0031840940937399864,0.008016032166779041,0.0003338735841680318,0.0008418828365392983,0.3743286728858948,0.15154461562633514,0.3731505572795868,0.1278960108757019,-3042.1324609375,18300.01734375,18.300018005371093,,,,
B Clean->Noisy,,ID-Easy 20 ns,20.0,200,-15.606579475402832,-15.631816368103028,0.08226051181554794,0.2058233618736267,9.53732681274414,0.5674374103546143,2073.186279296875,1.6326518058776855,24.186243057250977,1.6326518058776855,0.003481167135760188,0.008730946108698845,0.0003727475123014301,0.000941544771194458,0.16735297441482544,0.1725742369890213,0.17306829988956451,0.1715148687362671,-1510.646689453125,60943.640625,60.943643493652345,B Clean Train / Noisy Eval,15.0,15.006921577453614,0.2712617061958575
B Clean->Noisy,,ID-Hard 80 ns,80.0,200,-15.580918846130372,-15.605762176513672,0.0799587070941925,0.19823528826236725,9.542654037475586,0.39638233184814453,2073.272705078125,1.1175967454910278,24.27263069152832,1.1175967454910278,0.0033274064771831036,0.008250866085290909,0.0003518180164974183,0.0008746443199925125,0.141371950507164,0.13205371797084808,0.14335648715496063,0.1304001361131668,-1505.646298828125,59075.6296875,59.07563217163086,B Clean Train / Noisy Eval,15.0,15.015780868530273,0.24497045564676598
B Clean->Noisy,,OOD-Near 120 ns,120.0,200,-15.334736633300782,-15.34858642578125,0.08019111305475235,0.1997443288564682,9.535605430603027,0.38281476497650146,2073.262451171875,1.029306173324585,24.26229476928711,1.029306173324585,0.0033337853383272886,0.008305604569613934,0.00035239983117207885,0.0008797419723123312,0.18055695295333862,0.11521933227777481,0.18142366409301758,0.11340264230966568,-1462.45197265625,61177.4834375,61.17748611450195,B Clean Train / Noisy Eval,15.0,15.00197769165039,0.282421391047392
B Clean->Noisy,,OOD-Far 1 ms,1000000.0,200,2.366805076599121,2.636840419769287,0.09782028198242188,0.22097207605838776,8.975244522094727,0.4256274700164795,2071.701171875,1.1550343036651611,22.70123863220215,1.1550343036651611,0.004362551961094141,0.00988401472568512,0.0004920644569210708,0.0011215264676138759,0.022134115919470787,0.1284627616405487,0.0250293780118227,0.12997475266456604,2802.25388671875,3695827.4,3695.827568359375,B Clean Train / Noisy Eval,15.0,14.98625015258789,0.2701717535546611
C Noisy->Noisy,10,ID-Easy 20 ns,20.0,200,-18.245070114135743,-18.24798141479492,0.20062686502933502,0.10624749213457108,8.039047241210938,0.374624103307724,2067.228271484375,0.7815873026847839,18.228395462036133,0.7815873026847839,0.01106182113289833,0.005996734369546175,0.0013844702625647187,0.0007715662941336632,0.26633477210998535,0.18447832763195038,0.27078020572662354,0.18439605832099915,-2187.12119140625,33499.30359375,33.49930526733399,,15.0,14.990790939331054,0.2631161288054744
C Noisy->Noisy,10,ID-Hard 80 ns,80.0,200,-17.64802848815918,-17.646254806518556,0.19974195957183838,0.10405357927083969,8.006546020507812,0.20775574445724487,2067.172607421875,0.38600727915763855,18.172578811645508,0.38600727915763855,0.011010984890162945,0.005779016297310591,0.001377902808599174,0.0007290751091204584,0.2921832799911499,0.14332382380962372,0.29557135701179504,0.1512545943260193,-2060.7753515625,36375.38328125,36.375385437011715,,15.0,14.986900787353516,0.28718149687648
