lambda_reg,regime,aleatoric_mean,bin,count,epistemic_mean,error_mean
0.0,ID-Easy 20 ns,0.010369649156928062,0,512000,0.00134642596822232,0.0004434378060977906
0.0,ID-Easy 20 ns,0.010584468953311443,1,512000,0.0013754426036030054,0.0036825696006417274
0.0,ID-Easy 20 ns,0.011973248794674873,2,512000,0.0015635747695341706,0.021154487505555153
0.0,ID-Hard 80 ns,0.010427577421069145,0,512001,0.001357968314550817,0.0004934628959745169
0.0,ID-Hard 80 ns,0.01057154219597578,1,511999,0.001377290696837008,0.004047965165227652
0.0,ID-Hard 80 ns,0.011906048282980919,2,512000,0.0015522233443334699,0.022501112893223763
0.0,OOD-Far 1 ms,0.015294009819626808,0,512000,0.0022760622669011354,0.042722951620817184
0.0,OOD-Far 1 ms,0.015429523773491383,1,512000,0.0023008580319583416,0.3487315773963928
0.0,OOD-Far 1 ms,0.0160520002245903,2,512000,0.0024138162843883038,1.7923164367675781
0.0,OOD-Near 120 ns,0.010666974820196629,0,512000,0.0013995227636769414,0.0007610495085828006
0.0,OOD-Near 120 ns,0.010787250474095345,1,512000,0.0014153775991871953,0.006235308479517698
0.0,OOD-Near 120 ns,0.011965779587626457,2,512000,0.0015715847257524729,0.03331423178315163
0.0001,ID-Easy 20 ns,0.01000259630382061,0,512000,0.0012625920353457332,0.0004278732230886817
0.0001,ID-Easy 20 ns,0.010155361145734787,1,512001,0.0012841969728469849,0.0035487923305481672
0.0001,ID-Easy 20 ns,0.01138713862746954,2,511999,0.001447415561415255,0.02024523913860321
0.0001,ID-Hard 80 ns,0.010017182677984238,0,512001,0.0012695001205429435,0.0004810688260477036
0.0001,ID-Hard 80 ns,0.010135076008737087,1,511999,0.0012849682243540883,0.003920284099876881
0.0001,ID-Hard 80 ns,0.011287244968116283,2,512000,0.0014341541100293398,0.021506916731595993
0.0001,OOD-Far 1 ms,0.014029495418071747,0,512000,0.0019993579480797052,0.042336657643318176
0.0001,OOD-Far 1 ms,0.014117619954049587,1,512000,0.0020148297771811485,0.3453291654586792
0.0001,OOD-Far 1 ms,0.014616351574659348,2,512000,0.0020990013144910336,1.7752972841262817
0.0001,OOD-Near 120 ns,0.010200109332799911,0,512000,0.0013006834778934717,0.0007453932776115835
0.0001,OOD-Near 120 ns,0.010294861160218716,1,512000,0.001313429675064981,0.006084744352847338
0.0001,OOD-Near 120 ns,0.011288908310234547,2,512000,0.0014425902627408504,0.03235340118408203
0.01,ID-Easy 20 ns,0.01284860074520111,0,512000,0.002159685827791691,0.00037500172038562596
0.01,ID-Easy 20 ns,0.01310860924422741,1,512000,0.0022075443994253874,0.0031541576609015465
0.01,ID-Easy 20 ns,0.014778858050704002,2,512000,0.0025078104808926582,0.018473628908395767
0.01,ID-Hard 80 ns,0.012895626947283745,0,512000,0.0021637207828462124,0.00043850738438777626
0.01,ID-Hard 80 ns,0.013079995289444923,1,512001,0.0021963752806186676,0.003626131685450673
0.01,ID-Hard 80 ns,0.014670679345726967,2,511999,0.0024710712023079395,0.02070080116391182
0.01,OOD-Far 1 ms,0.02008935436606407,0,512000,0.0038858777843415737,0.04189227893948555
0.01,OOD-Far 1 ms,0.02027082070708275,1,512000,0.003928127698600292,0.341493159532547
0.01,OOD-Far 1 ms,0.02112347073853016,2,512000,0.0041236551478505135,1.7541604042053223
0.01,OOD-Near 120 ns,0.013245942071080208,0,512000,0.0022394321858882904,0.0007404003408737481
0.01,OOD-Near 120 ns,0.013393007218837738,1,512000,0.002265768591314554,0.006072863470762968
0.01,OOD-Near 120 ns,0.014799678698182106,2,512000,0.0025093788281083107,0.032579053193330765
0.001,ID-Easy 20 ns,0.010554375126957893,0,512000,0.0013175782514736056,0.0004239603294990957
0.001,ID-Easy 20 ns,0.010746577754616737,1,512001,0.0013446087250486016,0.003517585340887308
0.001,ID-Easy 20 ns,0.012156134471297264,2,511999,0.0015333743067458272,0.020305778831243515
0.001,ID-Hard 80 ns,0.010564922355115414,0,512000,0.0013219923712313175,0.00048188341315835714
0.001,ID-Hard 80 ns,0.010723046027123928,1,512000,0.001343175652436912,0.003936426714062691
0.001,ID-Hard 80 ns,0.01203598827123642,2,512000,0.0015139650786295533,0.02194000780582428
0.001,OOD-Far 1 ms,0.015656372532248497,0,512000,0.00225045345723629,0.04261322692036629
0.001,OOD-Far 1 ms,0.015790285542607307,1,512000,0.0022738890256732702,0.34758850932121277
0.001,OOD-Far 1 ms,0.016455059871077538,2,512000,0.002388378605246544,1.7858246564865112
0.001,OOD-Near 120 ns,0.010809067636728287,0,512000,0.0013613251503556967,0.0007742174784652889
0.001,OOD-Near 120 ns,0.010904502123594284,1,512000,0.0013744378229603171,0.006229756399989128
0.001,OOD-Near 120 ns,0.012028085999190807,2,512000,0.00152022042311728,0.03313850238919258
