experiment,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg,reg_to_nll_ratio,requested_snr_db,measured_snr_db_mean,measured_snr_db_std,error_bin_0_error_mean,error_bin_0_aleatoric_mean,error_bin_0_epistemic_mean,error_bin_1_error_mean,error_bin_1_aleatoric_mean,error_bin_1_epistemic_mean,error_bin_2_error_mean,error_bin_2_aleatoric_mean,error_bin_2_epistemic_mean,lambda_reg
lambda=0,ID-Easy 20 ns,20.0,200,-17.925472717285157,-17.93111381530762,0.19602830708026886,0.11078231781721115,7.733562469482422,0.3907444477081299,2066.950439453125,0.767499566078186,17.95039939880371,0.767499566078186,0.010975789278745651,0.00634344294667244,0.0014284810749813914,0.0008491149637848139,0.2573408782482147,0.16791559755802155,0.2571329176425934,0.15986721217632294,-2121.527275390625,35843.9053125,0.0,0.0,15.0,14.990790939331054,0.2631161288054744,0.0004434378060977906,0.010369649156928062,0.00134642596822232,0.0036825696006417274,0.010584468953311443,0.0013754426036030054,0.021154487505555153,0.011973248794674873,0.0015635747695341706,0.0
lambda=0,ID-Hard 80 ns,80.0,200,-17.404796447753906,-17.40891052246094,0.19566833972930908,0.10945939272642136,7.6912336349487305,0.23691211640834808,2066.8740234375,0.4038519263267517,17.874101638793945,0.4038518965244293,0.010968388989567757,0.00618164474144578,0.001429160707630217,0.0008120486163534224,0.27169179916381836,0.13226225972175598,0.27119550108909607,0.12612465023994446,-2007.689169921875,38335.323125,0.0,0.0,15.0,14.986900787353516,0.28718149687648,0.0004934628959745169,0.010427577421069145,0.001357968314550817,0.004047965165227652,0.01057154219597578,0.001377290696837008,0.022501112893223763,0.011906048282980919,0.0015522233443334699,0.0
lambda=0,OOD-Far 1 ms,1000000.0,200,1.4022614765167236,1.6109058618545533,0.24093331396579742,0.11927476525306702,6.777931213378906,0.3944883942604065,2064.60986328125,0.907331645488739,15.609755516052246,0.9073315858840942,0.015591844916343689,0.008098967373371124,0.0023302454501390457,0.001293370733037591,0.06409136950969696,0.07870521396398544,0.07270196825265884,0.08226436376571655,2536.5976953125,2941662.01,0.0,0.0,15.0,14.993080215454102,0.23830227738988888,0.042722951620817184,0.015294009819626808,0.0022760622669011354,0.3487315773963928,0.015429523773491383,0.0023008580319583416,1.7923164367675781,0.0160520002245903,0.0024138162843883038,0.0
lambda=0,OOD-Near 120 ns,120.0,200,-15.52048614501953,-15.517501068115234,0.19736643135547638,0.10941226780414581,7.6358771324157715,0.24136626720428467,2066.747802734375,0.39089834690093994,17.747882843017578,0.39089834690093994,0.011140001937747002,0.006214695051312447,0.0014621616574004292,0.0008223363547585905,0.26442474126815796,0.08980369567871094,0.2643698751926422,0.08642801642417908,-1567.6286181640626,57045.1175,0.0,0.0,15.0,15.00957145690918,0.27543966395611735,0.0007610495085828006,0.010666974820196629,0.0013995227636769414,0.006235308479517698,0.010787250474095345,0.0014153775991871953,0.03331423178315163,0.011965779587626457,0.0015715847257524729,0.0
lambda=0.0001,ID-Easy 20 ns,20.0,200,-18.147170181274415,-18.148695220947264,0.19197267293930054,0.09788382798433304,7.932406425476074,0.33795228600502014,2067.331787109375,0.7132775187492371,18.331880569458008,0.7132774591445923,0.010515031404793262,0.0054551647044718266,0.001331401290372014,0.0007044363301247358,0.25474435091018677,0.17213265597820282,0.2556076645851135,0.17263399064540863,-2158.549501953125,34315.67625,3.4315675354003905,0.0015897562378252158,15.0,14.990790939331054,0.2631161288054744,0.0004278732230886817,0.01000259630382061,0.0012625920353457332,0.0035487923305481672,0.010155361145734787,0.0012841969728469849,0.02024523913860321,0.01138713862746954,0.001447415561415255,0.0001
lambda=0.0001,ID-Hard 80 ns,80.0,200,-17.60515182495117,-17.603495788574218,0.1912301480770111,0.09547553211450577,7.895281791687012,0.20680378377437592,2067.27587890625,0.36086443066596985,18.27581214904785,0.36086443066596985,0.01047983393073082,0.005267940927296877,0.0013295409735292196,0.0006730122840963304,0.28528791666030884,0.12892739474773407,0.28662559390068054,0.1297122985124588,-2043.732412109375,36684.70609375,3.668470516204834,0.0017949857302505597,15.0,14.986900787353516,0.28718149687648,0.0004810688260477036,0.010017182677984238,0.0012695001205429435,0.003920284099876881,0.010135076008737087,0.0012849682243540883,0.021506916731595993,0.011287244968116283,0.0014341541100293398,0.0001
lambda=0.0001,OOD-Far 1 ms,1000000.0,200,1.3642697858810424,1.5694696044921874,0.22956763207912445,0.10276586562395096,7.054419994354248,0.3366793990135193,2065.215576171875,0.7694819569587708,16.215728759765625,0.7694819569587708,0.014254488982260227,0.006623847875744104,0.002037729835137725,0.0009938334114849567,0.06185085326433182,0.08175410330295563,0.06955663114786148,0.08458307385444641,2523.84654296875,2917242.02,291.7241912841797,0.11558713507988269,15.0,14.993080215454102,0.23830227738988888,0.042336657643318176,0.014029495418071747,0.0019993579480797052,0.3453291654586792,0.014117619954049587,0.0020148297771811485,1.7752972841262817,0.014616351574659348,0.0020990013144910336,0.0001
lambda=0.0001,OOD-Near 120 ns,120.0,200,-15.649294891357421,-15.64514003753662,0.1923031359910965,0.09580334275960922,7.84821891784668,0.21077421307563782,2067.17578125,0.34686774015426636,18.17577362060547,0.34686774015426636,0.0105946259573102,0.005307477433234453,0.001352234510704875,0.0006821209681220353,0.2732405960559845,0.0897967666387558,0.27451878786087036,0.09071463346481323,-1595.651943359375,55444.73578125,5.544473457336426,0.003474738636064158,15.0,15.00957145690918,0.27543966395611735,0.0007453932776115835,0.010200109332799911,0.0013006834778934717,0.006084744352847338,0.010294861160218716,0.001313429675064981,0.03235340118408203,0.011288908310234547,0.0014425902627408504,0.0001
lambda=0.001,ID-Easy 20 ns,20.0,200,-18.245070114135743,-18.24798141479492,0.20062686502933502,0.10624749213457108,8.039047241210938,0.374624103307724,2067.228271484375,0.7815873026847839,18.228395462036133,0.7815873026847839,0.01106182113289833,0.005996734369546175,0.0013844702625647187,0.0007715662941336632,0.26633477210998535,0.18447832763195038,0.27078020572662354,0.18439605832099915,-2187.12119140625,33499.30359375,33.49930526733399,0.015316620495840847,15.0,14.990790939331054,0.2631161288054744,,,,,,,,,,0.001
lambda=0.001,ID-Hard 80 ns,80.0,200,-17.64802848815918,-17.646254806518556,0.19974195957183838,0.10405357927083969,8.006546020507812,0.20775574445724487,2067.172607421875,0.38600727915763855,18.172578811645508,0.38600727915763855,0.011010984890162945,0.005779016297310591,0.001377902808599174,0.0007290751091204584,0.2921832799911499,0.14332382380962372,0.29557135701179504,0.1512545943260193,-2060.7753515625,36375.38328125,36.375385437011715,0.017651310420252763,15.0,14.986900787353516,0.28718149687648,,,,,,,,,,0.001
