epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_reg_to_nll_ratio,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_reg_to_nll_ratio,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,-191.22280230712892,-191.22280230712892,480676.353275,0.0,0.0,-7.528000258922577,-7.456654602575302,-1277.567275390625,-1277.567275390625,79918.83375,0.0,0.0,-14.103833885192872,-14.188946571350098,0.31804081559181213,0.3120333111286163
2,-1368.0632747070313,-1368.0632747070313,90001.428975,0.0,0.0,-13.768504043579101,-13.759148081970215,-1449.112939453125,-1449.112939453125,67360.4759375,0.0,0.0,-14.833159942626953,-14.841000061035157,0.10265767842531204,0.05241491138935089
3,-1643.1642783203124,-1643.1642783203124,64546.258025,0.0,0.0,-15.148018983459473,-15.138853503417968,-1785.663447265625,-1785.663447265625,47461.7215625,0.0,0.0,-16.37119026184082,-16.404783935546874,0.04571720063686371,0.014987388029694557
4,-1821.243876171875,-1821.243876171875,54786.65841875,0.0,0.0,-15.863533805847167,-15.855110543823242,-1850.374609375,-1850.374609375,44622.0440625,0.0,0.0,-16.60172981262207,-16.576680755615236,0.026954158693552017,0.006712111383676529
5,-1945.5633234375,-1945.5633234375,48803.095665625,0.0,0.0,-16.383525973510743,-16.37841040802002,-1871.86396484375,-1871.86396484375,44251.7271875,0.0,0.0,-16.68663040161133,-16.66659912109375,0.018030793890357017,0.003701234329491854
6,-2021.7906578125,-2021.7906578125,44549.609203125,0.0,0.0,-16.7671354598999,-16.767402032470702,-1906.14478515625,-1906.14478515625,43019.04859375,0.0,0.0,-16.748265228271485,-16.73024963378906,0.015928558185696603,0.0029549774061888457
7,-2131.6417986328124,-2131.6417986328124,40048.19190625,0.0,0.0,-17.245633546447753,-17.248839701843263,-2073.9964453125,-2073.9964453125,36292.988125,0.0,0.0,-17.525657730102537,-17.52721290588379,0.01343573972582817,0.0022206195257604123
8,-2166.624078125,-2166.624078125,38676.121821875,0.0,0.0,-17.39363349914551,-17.396117291259767,-2083.40216796875,-2083.40216796875,36574.3959375,0.0,0.0,-17.53079948425293,-17.529239807128906,0.012055192701518535,0.001804909105412662
9,-2233.4475240234374,-2233.4475240234374,36236.4746625,0.0,0.0,-17.67308152770996,-17.67517785949707,-2191.770048828125,-2191.770048828125,32833.6453125,0.0,0.0,-18.004682846069336,-18.004545669555664,0.010470505468547345,0.0014135360904037953
10,-2244.4580953125,-2244.4580953125,35577.762521875,0.0,0.0,-17.752889192199707,-17.754215075683593,-2133.631103515625,-2133.631103515625,35092.604375,0.0,0.0,-17.67622573852539,-17.68085205078125,0.010842999555170535,0.0014121056208387017
