epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_reg_to_nll_ratio,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_reg_to_nll_ratio,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,-142.59256003417968,-189.46808309326173,468755.23205,46.87552205657959,0.2474059022966524,-7.643404810142517,-7.575082393312454,-988.2865014648437,-998.666923828125,103804.229375,10.380422706604003,0.010394279072255102,-12.863410263061523,-13.004451751708984,0.36751670837402345,0.35741525411605835
2,-1368.2286765136719,-1376.9321541503907,87034.7747625,8.703477266311646,0.006320919473057661,-13.895784889221192,-13.888419427490234,-1517.0881640625,-1523.215703125,61275.291875,6.127528972625733,0.004022758536439971,-15.263754119873047,-15.26857967376709,0.09508122593164443,0.045426084399223327
3,-1643.8952348632813,-1650.2934750976563,63982.380434375,6.398237897109985,0.00387703035467228,-15.191439317321777,-15.182978323364258,-1760.5021630859376,-1765.355927734375,48537.5796875,4.8537578201293945,0.002749449979943208,-16.270770874023437,-16.278932800292967,0.04132015183568001,0.0127963425219059
4,-1842.706484765625,-1848.040880859375,53343.955134375,5.334395368957519,0.002886513726064359,-15.991979165649415,-15.983516876220703,-1932.390927734375,-1936.55501953125,41641.33875,4.164133796691894,0.0021502791062855187,-16.995407638549803,-16.976888732910155,0.021760933548212052,0.004860771596431732
5,-1966.082359375,-1970.813051171875,47306.931703125,4.730693054580689,0.002400376358246534,-16.516535998535158,-16.511833793640136,-1856.35599609375,-1860.84236328125,44863.63125,4.486363010406494,0.002410931252914684,-16.625273284912108,-16.615685653686523,0.016336842253804208,0.003134641796350479
6,-2031.4171244140625,-2035.78977734375,43726.52225,4.372652103042602,0.0021478898026133404,-16.838183541870116,-16.83889895477295,-2123.34244140625,-2126.7875634765624,34451.40671875,3.445140590667725,0.001619879977584556,-17.760823211669923,-17.75211799621582,0.01686969704926014,0.0031694198679178952
7,-2130.8768037109376,-2134.8387765625,39619.753090625,3.96197521648407,0.0018558662414990663,-17.28390500793457,-17.286003866577147,-1938.6675048828124,-1942.76455078125,40970.58296875,4.097058219909668,0.0021088804704826516,-16.96620834350586,-16.963601837158205,0.013573853708803653,0.0021936854906380175
8,-2159.8126634765626,-2163.6725029296877,38598.375009375,3.8598374017715456,0.0017839286659729477,-17.401673248291015,-17.404760104370116,-2142.451669921875,-2145.8731005859377,34213.91625,3.4213915348052977,0.0015944053419818403,-17.810653228759765,-17.799788818359374,0.011969459801912307,0.0017597642401233316
9,-2235.168366015625,-2238.763624609375,35952.6196078125,3.595261867904663,0.0016059140091289961,-17.70829482574463,-17.70978876953125,-2261.229072265625,-2264.3034765625,30744.0278125,3.0744026947021483,0.001357769718816978,-18.30485481262207,-18.304386138916016,0.010402803756296635,0.0013761725276708603
10,-2239.9938248046874,-2243.5422205078125,35483.9637609375,3.5483962978363035,0.0015816044224107933,-17.75757007446289,-17.75871186218262,-2168.9115478515623,-2172.25013671875,33385.58390625,3.338558330535889,0.0015369124734242224,-17.88668197631836,-17.88717643737793,0.01034877248108387,0.0013116699643433093
