epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_reg_to_nll_ratio,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_reg_to_nll_ratio,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,171.90819897460938,-259.326967590332,431235.1440125,431.2351643859863,1.662901349506368,-8.22605279378891,-8.176052055931091,-594.4608447265625,-730.8069091796875,136346.06,136.34606567382812,0.1865692072137187,-11.582372665405273,-11.635099449157714,0.3515708386898041,0.3182150447368622
2,-1314.4555474365234,-1396.0925676757813,81637.01465625,81.63701850585937,0.05847536216110953,-14.12336268157959,-14.120390583801269,-1612.009794921875,-1664.9561865234375,52946.38375,52.94638641357422,0.03180046828968667,-15.912390060424805,-15.937958145141602,0.07521685063838959,0.03062765896320343
3,-1643.5656487304686,-1704.0426622070313,60477.008359375,60.4770111907959,0.03549031519675262,-15.435656071472168,-15.429904415893555,-1696.3499169921874,-1745.60388671875,49253.96390625,49.253966064453124,0.02821600389350343,-16.20548873901367,-16.198147354125975,0.03805032655596733,0.010747429616749286
4,-1812.066990234375,-1864.2204662109375,52153.472775,52.15347530517578,0.02797602335677546,-16.078869383239745,-16.072923699951172,-1889.1393798828126,-1930.8872216796874,41747.8225,41.74782440185547,0.02162105789136801,-16.95488914489746,-16.972192306518554,0.023015144839882852,0.005084469486027956
5,-1950.818928125,-1996.766261328125,45947.330253125,45.94733244323731,0.023010871794501318,-16.64667305908203,-16.643369882202148,-1864.876875,-1907.577431640625,42700.54734375,42.70054946899414,0.022384700490006005,-16.82203598022461,-16.803355865478515,0.02026553750038147,0.004029070604592562
6,-2025.3671443359376,-2067.6156416015624,42248.4935625,42.24849555053711,0.020433437772606203,-16.99324663848877,-16.995008947753906,-2004.07248046875,-2042.0322021484376,37959.71015625,37.9597119140625,0.01858918379148914,-17.319607543945313,-17.302957611083983,0.01576483026146889,0.0026893124543130396
7,-2122.7848638671876,-2161.27541640625,38490.546421875,38.49054822998047,0.017809182456627454,-17.408013932800294,-17.411072552490236,-1921.5003369140625,-1962.886171875,41385.855,41.38585632324219,0.021084185581428036,-16.961408615112305,-16.9719637298584,0.014357920177280903,0.0022389352694153785
8,-2145.3276236328124,-2183.078000390625,37750.37240625,37.750374172973636,0.017292269981212728,-17.49424016418457,-17.49664336242676,-2103.6511962890627,-2138.047841796875,34396.65109375,34.39665298461914,0.016087878068972654,-17.78892265319824,-17.787161407470702,0.012333808243274689,0.0017348436824977398
9,-2204.0399732421874,-2239.8425560546875,35802.57725,35.80257893371582,0.015984417671132876,-17.723995793151854,-17.724931860351564,-2169.1577099609376,-2201.693466796875,32535.78484375,32.53578674316406,0.01477761878920904,-18.034057159423828,-18.03438781738281,0.010558389872312546,0.0013412895472720266
10,-2222.380644140625,-2257.398308203125,35017.660996875,35.01766265716553,0.015512398733427,-17.8164381942749,-17.81736657409668,-2202.7502392578126,-2234.515546875,31765.311875,31.765313110351563,0.01421574942928172,-18.152343292236328,-18.147254714965822,0.01037080880254507,0.0012668747641146182
