epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_reg_to_nll_ratio,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_reg_to_nll_ratio,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,-564.5347557128906,-937.7507553833008,373215.98058125,373.2159988891602,0.3979906139693059,-9.063517302322389,-9.024872404956817,-1547.971923828125,-1653.6579052734376,105685.9946875,105.68599914550781,0.06391043686111923,-12.809134826660156,-12.851802482604981,0.01719944432377815,0.01622650645673275
2,-1966.7485572265625,-2053.4826671875,86734.1059875,86.73410992126465,0.04223756611475832,-13.829915002441407,-13.828904486083985,-2127.7327392578127,-2202.50712890625,74774.37125,74.77437438964844,0.03394966282195028,-14.233067016601563,-14.235490188598632,0.005928322486579418,0.015727553963661194
3,-2266.7193525390626,-2333.6087908203126,66889.44283125,66.8894459564209,0.028663521589075442,-15.00214355621338,-15.004699287414551,-2333.55970703125,-2371.87365234375,38313.930625,38.31393264770508,0.016153445867440667,-17.265558853149415,-17.25840774536133,0.003644181601703167,0.014406000785529614
4,-2396.2987009765625,-2454.3224357421873,58023.733540625,58.02373621520996,0.023641447989871455,-15.56439260559082,-15.567216384887695,-2316.092724609375,-2374.7508203125,58658.110625,58.65811325073242,0.024700744494433498,-15.35498420715332,-15.349198341369629,0.002969726659357548,0.01457212895154953
5,-2463.50551015625,-2519.06433203125,55558.818028125,55.55882075195313,0.02205534016947184,-15.77113143005371,-15.772226065063476,-2338.875361328125,-2386.036533203125,47161.1678125,47.16117050170899,0.01976548550084437,-16.24076728820801,-16.23534713745117,0.0027791713271290066,0.01631734684109688
6,-2495.743103125,-2549.4789318359376,53735.823240625,53.73582582702637,0.021077179793801713,-15.923365937805176,-15.923199781799317,-2466.9948828125,-2510.92123046875,43926.37125,43.9263737487793,0.017494126544305807,-16.489808654785158,-16.4862109375,0.0025484137795865535,0.018575236052274704
7,-2543.4112697265623,-2594.7519171875,51340.647184375,51.34064963684082,0.01978634230754979,-16.108565127563477,-16.107876759338378,-2395.440859375,-2441.28779296875,45846.949375,45.84695114135742,0.01877982238440517,-16.414930877685546,-16.41399200439453,0.0023614039551466703,0.019390321597456933
8,-2567.7822986328124,-2617.93010546875,50147.806546875,50.147808850097654,0.019155518608059613,-16.17384496459961,-16.17297792816162,-2413.478408203125,-2448.66517578125,35186.749375,35.186750946044924,0.014369768187957687,-17.608905410766603,-17.606580810546873,0.0023528520204126836,0.01883424460887909
9,-2597.0681638671876,-2645.0543978515625,47986.22911875,47.98623137512207,0.018141869374753625,-16.363740272521973,-16.362645988464354,-2437.4170703125,-2487.56830078125,50151.220625,50.15122283935547,0.020160742048129204,-15.912273864746094,-15.908002395629882,0.0022482539247721434,0.018255658149719238
10,-2615.0495625,-2662.1456609375,47096.0936,47.096095831298825,0.01769102890280488,-16.44301197052002,-16.442040954589842,-2475.242470703125,-2529.304970703125,54062.4865625,54.06248931884765,0.021374444736731373,-15.617805404663086,-15.612652206420899,0.0021655212994664908,0.018270272091031076
