lambda,regime,nmse_omitted,aleatoric,epistemic,psi,kappa,denom,err_ale_p,err_epi_p,ratio
0,ID-Easy 20 ns,-18.093552474975585,0.010998362675309181,0.0014661606401205063,0.19358095526695251,7.568457126617432,17.714614868164062,0.2541448175907135,0.25111261010169983,0.0
0,ID-Hard 80 ns,-17.52005081176758,0.010984009131789207,0.0014630527002736926,0.19338224828243256,7.518593788146973,17.640642166137695,0.2882865369319916,0.289776474237442,0.0
0,OOD-Near 120 ns,-15.562888565063476,0.011177328415215015,0.0015013874508440495,0.19524940848350525,7.458014488220215,17.503244400024414,0.2734539806842804,0.27512219548225403,0.0
0,OOD-Far 1 ms,1.5860816478729247,0.01526915654540062,0.0023106159642338753,0.23460432887077332,6.682290554046631,15.510603904724121,0.061546891927719116,0.06951455771923065,0.0
1e-3,ID-Easy 20 ns,-18.434239196777344,0.010541812516748905,0.001290039042942226,0.19398067891597748,8.235355377197266,18.506250381469727,0.23920975625514984,0.24116969108581543,0.014641161586585573
1e-3,ID-Hard 80 ns,-17.742636489868165,0.010527764447033405,0.001287406892515719,0.19355379045009613,8.1885986328125,18.412961959838867,0.2886728346347809,0.2917223572731018,0.01711412292242504
1e-3,OOD-Near 120 ns,-15.601826400756837,0.010654262267053127,0.0013102921657264233,0.19485071301460266,8.143310546875,18.31402015686035,0.28024137020111084,0.2831004858016968,0.03506950918305568
1e-3,OOD-Far 1 ms,1.5445478296279906,0.01448327861726284,0.002003404777497053,0.2334141880273819,7.300093650817871,16.245275497436523,0.06203074008226395,0.06972452253103256,1.1656329708930764
1e-2,ID-Easy 20 ns,-18.665373153686524,0.013234083540737629,0.0022415663115680218,0.1937013417482376,5.943317890167236,14.711777687072754,0.25242799520492554,0.253763347864151,0.135205065749088
1e-2,ID-Hard 80 ns,-17.878828353881836,0.013165866024792194,0.0022234662901610136,0.19286873936653137,5.931975364685059,14.683244705200195,0.31947091221809387,0.3215996325016022,0.16298336683619488
1e-2,OOD-Near 120 ns,-15.670393333435058,0.013444253243505955,0.0022874155547469854,0.19537727534770966,5.889026641845703,14.563554763793945,0.3032834231853485,0.304764986038208,0.3398550239828251
1e-2,OOD-Far 1 ms,1.5340125465393066,0.020037764683365822,0.003912479616701603,0.24594897031784058,5.188487529754639,12.43187141418457,0.07829368859529495,0.08515630662441254,11.645633705217232
