epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_reg_to_nll_ratio,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_reg_to_nll_ratio,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,-203.89337945556642,-203.89337945556642,487373.6365,0.0,0.0,-7.447855513620377,-7.375447893810272,-836.6497119140626,-836.6497119140626,123105.210625,0.0,0.0,-12.005089149475097,-12.086060791015624,0.4338806700706482,0.45310418963432314
2,-1329.4416234375,-1329.4416234375,95002.18080625,0.0,0.0,-13.550451222229004,-13.54064013671875,-1526.313974609375,-1526.313974609375,60194.04375,0.0,0.0,-15.315469627380372,-15.314388885498047,0.10040960848331451,0.05126004084944725
3,-1632.5029817382813,-1632.5029817382813,65473.54991875,0.0,0.0,-15.100330027770996,-15.091207884216308,-1646.0414208984375,-1646.0414208984375,53510.481875,0.0,0.0,-15.814026565551758,-15.827594375610351,0.04780313596129417,0.016174775809049607
4,-1822.93635703125,-1822.93635703125,54552.74930625,0.0,0.0,-15.8878130279541,-15.879777403259277,-1859.380703125,-1859.380703125,44422.91953125,0.0,0.0,-16.657911834716796,-16.65179588317871,0.0251713614910841,0.006314788293093443
5,-1961.3729783203125,-1961.3729783203125,47812.405471875,0.0,0.0,-16.46671884613037,-16.463004791259767,-1824.7608251953125,-1824.7608251953125,46548.62796875,0.0,0.0,-16.451062316894532,-16.45462387084961,0.02012063540518284,0.004353770166635513
6,-2032.95723125,-2032.95723125,44151.317078125,0.0,0.0,-16.810412963867186,-16.810530285644532,-1967.8399951171875,-1967.8399951171875,40534.3365625,0.0,0.0,-16.99029685974121,-16.97186737060547,0.015618803426623345,0.0029415707290172577
7,-2153.7890806640626,-2153.7890806640626,39171.8661375,0.0,0.0,-17.33601153717041,-17.33944492340088,-1984.47587890625,-1984.47587890625,39898.99015625,0.0,0.0,-17.124238967895508,-17.125314559936523,0.013274180218577385,0.002222218941897154
8,-2176.878599609375,-2176.878599609375,38335.772459375,0.0,0.0,-17.43226427307129,-17.4348643157959,-2127.3425,-2127.3425,34964.17078125,0.0,0.0,-17.724549102783204,-17.72083724975586,0.011674943119287491,0.0017522054631263018
9,-2228.6904146484376,-2228.6904146484376,36334.7327,0.0,0.0,-17.657588671875,-17.659305152893065,-2231.538173828125,-2231.538173828125,31285.309375,0.0,0.0,-18.18166473388672,-18.17666290283203,0.010695037730038166,0.0014813220454379917
10,-2256.5596767578127,-2256.5596767578127,35181.3208828125,0.0,0.0,-17.795743312072755,-17.797070639038086,-2159.4669873046873,-2159.4669873046873,33914.18375,0.0,0.0,-17.82139602661133,-17.818564529418946,0.010862808525562286,0.0014481778535991906
