epoch,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg,reg_to_nll_ratio,requested_snr_db,measured_snr_db_mean,measured_snr_db_std,covariance_diag_mean,covariance_diag_std,lowrank_diag_contribution_mean,lowrank_diag_contribution_std,off_diagonal_energy_ratio_mean,off_diagonal_energy_ratio_std,frequency_covariance_lag_1_mean,frequency_covariance_lag_1_std,frequency_covariance_lag_2_mean,frequency_covariance_lag_2_std,frequency_covariance_lag_4_mean,frequency_covariance_lag_4_std,frequency_covariance_lag_8_mean,frequency_covariance_lag_8_std,error_bin_0_error_mean,error_bin_0_aleatoric_mean,error_bin_0_epistemic_mean,error_bin_1_error_mean,error_bin_1_aleatoric_mean,error_bin_1_epistemic_mean,error_bin_2_error_mean,error_bin_2_aleatoric_mean,error_bin_2_epistemic_mean
1,ID-Easy 20 ns,20.0,200,-12.325969467163086,-12.363516120910644,0.5604183673858643,0.09034419804811478,1.2655760049819946,0.1461092233657837,2050.118408203125,0.16546432673931122,1.1185961961746216,0.16546422243118286,0.5142899751663208,0.12501488626003265,0.4160688519477844,0.12741950154304504,0.0532752126455307,0.04111192002892494,0.02389184944331646,0.013280048035085201,-808.62228515625,124511.395625,1245.11392578125,1.5397966994259362,15.0,14.975807647705079,0.26704728171575887,,,,,,,,,,,,,,,0.0015788956079632044,0.5091217160224915,0.4140103757381439,0.013071620836853981,0.5112091302871704,0.4141482412815094,0.07355935871601105,0.5225390791893005,0.42004790902137756
1,ID-Hard 80 ns,80.0,200,-12.36843132019043,-12.407388916015625,0.5606370568275452,0.08892956376075745,1.2535369396209717,0.0572534054517746,2050.1103515625,0.04822686314582825,1.1104501485824585,0.04822676256299019,0.5058039426803589,0.08319907635450363,0.4043905436992645,0.06922762840986252,0.07428921014070511,0.06266570091247559,0.03736988082528114,0.029881402850151062,-784.2711474609375,120360.510625,1203.6050634765625,1.5346797690541893,15.0,15.003419342041015,0.2547487409902887,,,,,,,,,,,,,,,0.0015483185416087508,0.5014309287071228,0.40283867716789246,0.012794917449355125,0.5034793615341187,0.4034336507320404,0.07086741924285889,0.5125013589859009,0.40689924359321594
1,OOD-Near 120 ns,120.0,200,-12.163290824890137,-12.197316093444824,0.5601053237915039,0.08829386532306671,1.2484005689620972,0.059661488980054855,2050.109619140625,0.05153493955731392,1.1095309257507324,0.05153486505150795,0.5059699416160583,0.08367214351892471,0.40636056661605835,0.07071692496538162,0.07447461783885956,0.05869707092642784,0.04329226538538933,0.031342294067144394,-748.04853515625,123845.384375,1238.4538134765626,1.6555794915116337,15.0,14.99090560913086,0.2707705227594815,,,,,,,,,,,,,,,0.0015986632788553834,0.5020238757133484,0.40471982955932617,0.013177383691072464,0.5036570429801941,0.4053146541118622,0.07298881560564041,0.5122289061546326,0.40904712677001953
1,OOD-Far 1 ms,1000000.0,200,1.963783712387085,2.2124969387054443,0.5612903833389282,0.08796868473291397,1.2198129892349243,0.06254952400922775,2050.089599609375,0.06513664126396179,1.089558720588684,0.0651366338133812,0.5173145532608032,0.08906435966491699,0.42555737495422363,0.07841762900352478,-0.026772037148475647,-0.024513008072972298,-0.0290899109095335,-0.027191871777176857,2627.3652734375,3310042.6,33100.424921875,12.598333873250231,15.0,15.005892143249511,0.24637874231902782,,,,,,,,,,,,,,,0.049076784402132034,0.5190954208374023,0.4272862374782562,0.400210440158844,0.518229067325592,0.42645391821861267,2.054530382156372,0.5146192908287048,0.422931969165802
2,ID-Easy 20 ns,20.0,200,-15.845122222900391,-15.86852180480957,0.4312207102775574,0.05937681719660759,2.476395606994629,0.17648497223854065,2051.981689453125,0.22436298429965973,2.981722354888916,0.22436298429965973,0.1456795483827591,0.024798018857836723,0.05925072357058525,0.011675264686346054,0.15162701904773712,0.08785854279994965,0.126991868019104,0.06938602775335312,-1587.6819775390625,58690.2253125,586.9022412109375,0.3696598245178488,15.0,14.997757911682129,0.27129987054080895,,,,,,,,,,,,,,,0.000715121510438621,0.14349594712257385,0.05836762860417366,0.005954461172223091,0.14447003602981567,0.058765389025211334,0.034941792488098145,0.14907267689704895,0.06061914563179016
2,ID-Hard 80 ns,80.0,200,-15.722986183166505,-15.740286064147949,0.43089765310287476,0.0576401948928833,2.4505348205566406,0.08897839486598969,2051.96337890625,0.0634288415312767,2.9633336067199707,0.06342882663011551,0.14546479284763336,0.0196374524384737,0.05941824987530708,0.008151314221322536,0.1466616839170456,0.06759965419769287,0.13725993037223816,0.06023121997714043,-1557.23259765625,57309.155625,573.0915356445313,0.36801922622439076,15.0,15.005968742370605,0.25995335069542175,,,,,,,,,,,,,,,0.0007377357687801123,0.14411801099777222,0.05890176072716713,0.006044652778655291,0.1446123570203781,0.05910107493400574,0.03391594812273979,0.14766402542591095,0.06025191396474838
2,OOD-Near 120 ns,120.0,200,-15.138028564453125,-15.14777099609375,0.43138983845710754,0.05731317028403282,2.4398815631866455,0.08935000002384186,2051.95068359375,0.06644392758607864,2.950620651245117,0.06644389778375626,0.1462721824645996,0.019701186567544937,0.06001629680395126,0.008273394778370857,0.15535874664783478,0.05994154140353203,0.15131771564483643,0.058037396520376205,-1437.056591796875,63553.0996875,635.5309887695313,0.4422449278566337,15.0,15.005629730224609,0.24798567709593625,,,,,,,,,,,,,,,0.000824855815153569,0.14503641426563263,0.05950845032930374,0.006737881805747747,0.1454160511493683,0.059667572379112244,0.0376417450606823,0.14836415648460388,0.060872867703437805
2,OOD-Far 1 ms,1000000.0,200,1.7656493377685547,2.0142532444000243,0.4489193558692932,0.06074916198849678,2.2967050075531006,0.09678002446889877,2051.735107421875,0.10350977629423141,2.7349584102630615,0.10350967198610306,0.16448499262332916,0.024005161598324776,0.0718020647764206,0.011319132521748543,0.06519949436187744,0.04443209990859032,0.06659384071826935,0.04568411782383919,2559.07505859375,3171761.13,31717.610390625,12.394169637185383,15.0,15.048698883056641,0.28407814713689106,,,,,,,,,,,,,,,0.0468410961329937,0.16354955732822418,0.07134467363357544,0.3823191523551941,0.16393114626407623,0.0715358555316925,1.966888427734375,0.16597424447536469,0.07252568006515503
3,ID-Easy 20 ns,20.0,200,-16.017886276245118,-16.003070068359374,0.3265807032585144,0.062735915184021,3.458178758621216,0.199586883187294,2054.02197265625,0.3263341188430786,5.021878719329834,0.3263340890407562,0.06560416519641876,0.014971565455198288,0.019086912274360657,0.004755449015647173,0.26874202489852905,0.2050461769104004,0.2508866786956787,0.18492361903190613,-1656.7115234375,55737.320625,557.373193359375,0.3364334619943493,15.0,15.011744117736816,0.269451674941243,,,,,,,,,,,,,,,0.0006948953378014266,0.06314826756715775,0.018360508605837822,0.005790467374026775,0.06421424448490143,0.018680298700928688,0.03333412855863571,0.06944996118545532,0.02021992765367031
3,ID-Hard 80 ns,80.0,200,-15.843554725646973,-15.828395690917969,0.325713574886322,0.0619637556374073,3.430617094039917,0.07316607236862183,2054.000732421875,0.14420537650585175,5.000811576843262,0.14420534670352936,0.0652971938252449,0.013195612467825413,0.01904880441725254,0.0039058628026396036,0.25111666321754456,0.17371335625648499,0.24849005043506622,0.17048582434654236,-1614.4358642578125,55423.24109375,554.23240234375,0.3432978755059486,15.0,15.005388145446778,0.2648897613642743,,,,,,,,,,,,,,,0.0007184604764916003,0.06343400478363037,0.0185067281126976,0.0058854492381215096,0.06419011205434799,0.018724823370575905,0.03299383446574211,0.06826745718717575,0.019914859905838966
