lambda,regime,aleatoric_mean,bin,count,epistemic_mean,error_mean
1e-2,ID-Easy 20 ns,0.012514631263911724,0,512000,0.002111222827807069,0.00036706626997329295
1e-2,ID-Easy 20 ns,0.01276865229010582,1,512000,0.002158187795430422,0.003080724971368909
1e-2,ID-Easy 20 ns,0.014418969862163067,2,512000,0.0024552885442972183,0.01833166927099228
1e-2,ID-Hard 80 ns,0.012523203156888485,0,512000,0.0021108812652528286,0.00043018258293159306
1e-2,ID-Hard 80 ns,0.012701389379799366,1,512000,0.002142917597666383,0.003565505612641573
1e-2,ID-Hard 80 ns,0.014273006469011307,2,512000,0.002416600240394473,0.02046395093202591
1e-2,OOD-Near 120 ns,0.012885463424026966,0,512000,0.002189061837270856,0.0007290535140782595
1e-2,OOD-Near 120 ns,0.013028543442487717,1,512000,0.0022152247838675976,0.005970338825136423
1e-2,OOD-Near 120 ns,0.014418749138712883,2,512000,0.002457960043102503,0.03224683552980423
1e-2,OOD-Far 1 ms,0.01962350681424141,0,512000,0.003816252341493964,0.0420265793800354
1e-2,OOD-Far 1 ms,0.01980607584118843,1,512000,0.0038592044729739428,0.34258899092674255
1e-2,OOD-Far 1 ms,0.020683711394667625,2,512000,0.0040619815699756145,1.7599648237228394
