epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_reg_to_nll_ratio,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_reg_to_nll_ratio,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,3640.603673144531,-260.52428468017575,390112.80505625,3901.127963671875,14.974143267723496,-8.829307818508148,-8.801639546585083,277.433291015625,-865.87109375,114330.440625,1143.304384765625,1.3204094616450186,-12.404208526611328,-12.440376319885253,0.5099181842803955,0.4128877532482147
2,-510.76721669921875,-1339.3837518554687,82861.6553,828.6165349609375,0.618655059692083,-14.04050064086914,-14.039277545166016,-1106.3113452148436,-1645.60103515625,53928.96875,539.2896801757812,0.32771593396652093,-15.845520248413086,-15.8644877243042,0.14492762565612793,0.05940579071640968
3,-1081.1709233398437,-1681.7503348632813,60057.942371875,600.5794108154297,0.35711567785160153,-15.44447583618164,-15.439512934875488,-1220.9225463867188,-1725.537255859375,50461.4715625,504.6147021484375,0.29243918114894496,-16.077179260253907,-16.061446075439452,0.06435929238796234,0.018770772591233255
4,-1327.116869921875,-1846.747168359375,51963.03101875,519.6302980712891,0.28137598203554187,-16.079649490356445,-16.07655033721924,-1592.324755859375,-1988.7078515625,39638.3090625,396.3830822753906,0.1993168991423073,-17.206887969970705,-17.195148468017578,0.030810006260871887,0.006571939215064049
5,-1571.898348046875,-2013.2146798828126,44131.634015625,441.316330859375,0.21920977194686042,-16.800564138793945,-16.8025152053833,-1519.94060546875,-1938.628916015625,41868.83328125,418.6883251953125,0.2159713608593354,-16.965079193115233,-16.954170989990235,0.02190812014043331,0.004067587964236737
6,-1677.7885924804687,-2085.138176953125,40734.95910625,407.34958203125,0.19535855538577762,-17.133388050842285,-17.137502200317382,-1670.09212890625,-2047.59921875,37750.70984375,377.50708984375,0.18436571297012092,-17.3241828918457,-17.314949493408204,0.022045069858431816,0.004204290974885225
7,-1801.939356640625,-2175.09256171875,37315.321434375,373.153206640625,0.17155739172039888,-17.52666316986084,-17.530048216247557,-1771.1525439453126,-2118.543505859375,34739.095625,347.39095092773437,0.16397631201119822,-17.706679153442384,-17.702311401367187,0.016921663954854012,0.00287586004473269
8,-1820.0609401367187,-2189.9360357421874,36987.51003125,369.8750926269531,0.16889766942435397,-17.567376612854005,-17.569545069885255,-1696.657841796875,-2062.858212890625,36620.0353125,366.2003540039062,0.17752085514834526,-17.462773971557617,-17.454196395874025,0.015120904222130775,0.002524495627731085
9,-1908.0942048828124,-2255.7548703125,34766.0672421875,347.6606642089844,0.1541216507090064,-17.838853048706056,-17.8397728225708,-1913.696630859375,-2230.576025390625,31687.93953125,316.87939086914065,0.14206168597738209,-18.13806655883789,-18.133632278442384,0.012792404070496559,0.002043114947155118
10,-1939.5617922851563,-2278.07725625,33851.5469875,338.5154628173828,0.14859700736099513,-17.947231968688964,-17.947613105773925,-1958.0520263671874,-2266.72234375,30867.03265625,308.670322265625,0.13617473843470743,-18.264362030029297,-18.26299880981445,0.013040824718773365,0.002205945188179612
