lambda,regime,aleatoric_mean,bin,count,epistemic_mean,error_mean
1e-3,ID-Easy 20 ns,0.00998688954859972,0,512000,0.0012167864479124546,0.0003891436499543488
1e-3,ID-Easy 20 ns,0.010163023136556149,1,512000,0.001240879064425826,0.003286176361143589
1e-3,ID-Easy 20 ns,0.011475526727735996,2,512000,0.0014124518493190408,0.019309429451823235
1e-3,ID-Hard 80 ns,0.010029670782387257,0,512000,0.0012241174699738622,0.0004515408945735544
1e-3,ID-Hard 80 ns,0.010155515745282173,1,512000,0.0012405611341819167,0.0037260560784488916
1e-3,ID-Hard 80 ns,0.011398104019463062,2,512000,0.0013975423062220216,0.02100287191569805
1e-3,OOD-Near 120 ns,0.01020750217139721,0,512000,0.001253289170563221,0.0007507803966291249
1e-3,OOD-Near 120 ns,0.010309581644833088,1,512000,0.0012670120922848582,0.006119630765169859
1e-3,OOD-Near 120 ns,0.011445702984929085,2,512000,0.001410575001500547,0.03277073800563812
1e-3,OOD-Far 1 ms,0.014228129759430885,0,512001,0.001961368601769209,0.04216626286506653
1e-3,OOD-Far 1 ms,0.014345066621899605,1,511999,0.001980817411094904,0.3434846103191376
1e-3,OOD-Far 1 ms,0.014876642264425755,2,512000,0.0020680290181189775,1.7650582790374756
