experiment,regime,nmse_all_db,nmse_omitted_db,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg
Baseline A elementwise,ID-Easy 20 ns,-15.481843070983887,-15.414058380126953,0.013111324049532413,0.010726111009716988,0.006619933992624283,0.009887157008051872,0.03793913871049881,0.01757938787341118,2.0945937633514404,0.35032832622528076,2052.0029296875,0.39168599247932434,3.0029022693634033,0.39168599247932434,0.44893407821655273,0.19400335848331451,0.44328224658966064,0.30413010716438293,-0.788818244934082,28.219303283691406,0.028219304606318475
Baseline A elementwise,ID-Hard 80 ns,-15.4924747467041,-15.425457305908203,0.012807248160243034,0.010613217018544674,0.006448890548199415,0.009846688248217106,0.03725914657115936,0.017248326912522316,2.101161003112793,0.35122594237327576,2052.015625,0.3890664577484131,3.0157253742218018,0.3890664577484131,0.44170689582824707,0.17680546641349792,0.4342299699783325,0.2856925129890442,-0.7867058610916138,27.827760925292967,0.02782776229083538
Baseline A elementwise,OOD-Near 120 ns,-15.092998428344726,-15.00737564086914,0.012675783596932888,0.01059283223003149,0.0063712080009281635,0.00984231662005186,0.036981478333473206,0.017158880829811096,2.1040241718292236,0.3496931791305542,2052.023193359375,0.38617390394210815,3.0231680870056152,0.38617390394210815,0.4582882523536682,0.16580688953399658,0.44694143533706665,0.26256898045539856,-0.7548155760765076,30.086517639160157,0.03008651927113533
Experiment B pair kappa/nu,ID-Easy 20 ns,-16.212880630493164,-16.165722732543944,0.014447222463786602,0.009039809927344322,0.007609224412590265,0.005403811112046242,0.04874154552817345,0.02887859009206295,2.0274922847747803,0.45094576478004456,2052.443115234375,0.3694640100002289,3.443092107772827,0.3694640100002289,0.4998667538166046,0.3370828628540039,0.4418169856071472,0.2239285707473755,-0.8587464761734008,24.72841567993164,0.024728416800498962
Experiment B pair kappa/nu,ID-Hard 80 ns,-16.218321228027342,-16.17297393798828,0.013961611315608025,0.008383316919207573,0.007196252234280109,0.004738205578178167,0.047796595841646194,0.02811538055539131,2.040637254714966,0.4213138520717621,2052.4609375,0.3187658488750458,3.4608023166656494,0.3187658190727234,0.5054015517234802,0.31276071071624756,0.45634886622428894,0.19492073357105255,-0.8564148449897766,24.057784729003906,0.02405778594315052
Experiment B pair kappa/nu,OOD-Near 120 ns,-15.790904312133788,-15.722800827026367,0.013770563527941704,0.008246657438576221,0.007081875577569008,0.004647575784474611,0.04734073951840401,0.027861645445227623,2.044045925140381,0.42149409651756287,2052.47119140625,0.31393900513648987,3.4712324142456055,0.31393900513648987,0.5253111720085144,0.2988874018192291,0.4769187569618225,0.1946469396352768,-0.8324009919166565,25.95895050048828,0.025958951711654663
Experiment C + diag MV NLL,ID-Easy 20 ns,-18.60341278076172,-18.563976821899413,0.41142213344573975,0.27390679717063904,0.41672632098197937,0.28303274512290955,0.45106104016304016,0.2674713730812073,0.9987638592720032,0.12390539795160294,2050.18798828125,0.3334703743457794,1.188094139099121,0.3334703743457794,0.30756455659866333,0.06920143961906433,0.3067089319229126,0.07690306007862091,-2513.617490234375,14.571994590759278,0.014571995176374912
Experiment C + diag MV NLL,ID-Hard 80 ns,-18.558506851196288,-18.514682388305665,0.40421053767204285,0.26372388005256653,0.4008471667766571,0.25698941946029663,0.4485189616680145,0.2658989429473877,1.0026254653930664,0.04555061459541321,2050.190673828125,0.3190802335739136,1.190579891204834,0.3190802335739136,0.3082267642021179,0.06381682306528091,0.3136044442653656,0.06681946665048599,-2432.5536328125,14.21769718170166,0.014217697940766811
Experiment C + diag MV NLL,OOD-Near 120 ns,-17.82144432067871,-17.74124412536621,0.40123429894447327,0.262062668800354,0.3971444070339203,0.25520503520965576,0.4466548562049866,0.2648979723453522,1.0050480365753174,0.049439944326877594,2050.195068359375,0.3210661709308624,1.194962501525879,0.32106614112854004,0.3281033933162689,0.06995265930891037,0.33369186520576477,0.07263468950986862,-2265.28931640625,16.425660247802735,0.016425661146640777
Experiment D + pair reg,ID-Easy 20 ns,-18.01639663696289,-18.039645538330078,0.14144101738929749,0.06845580786466599,0.13201045989990234,0.06785564869642258,0.31575754284858704,0.14013656973838806,1.0889439582824707,0.13008373975753784,2051.282958984375,0.2845626771450043,2.282979965209961,0.2845626771450043,0.38066285848617554,0.10112741589546204,0.36674532294273376,0.10847299546003342,-2297.28365234375,34454.3434375,34.45434463500977
Experiment D + pair reg,ID-Hard 80 ns,-18.037036972045897,-18.066192016601562,0.1369466781616211,0.0616636760532856,0.1250370889902115,0.05617833137512207,0.3130229413509369,0.1391427367925644,1.0950902700424194,0.049282245337963104,2051.29443359375,0.13654741644859314,2.2945170402526855,0.13654738664627075,0.3934977948665619,0.08209612220525742,0.3972266614437103,0.10810105502605438,-2252.44173828125,32904.39546875,32.90439636230469
Experiment D + pair reg,OOD-Near 120 ns,-17.520905151367188,-17.516030578613282,0.13548898696899414,0.061083756387233734,0.12348244339227676,0.05557110533118248,0.31127530336380005,0.13879001140594482,1.0971534252166748,0.052044790238142014,2051.305419921875,0.13529132306575775,2.305222749710083,0.1352911740541458,0.41329896450042725,0.0715559870004654,0.4161117374897003,0.08932022750377655,-2135.56419921875,36215.026875,36.21502792358398
Linear interpolation,ID-Easy 20 ns,,-44.22488891601562,,,,,,,,,,,,,,,,,,,
Linear interpolation,ID-Hard 80 ns,,-28.914525299072267,,,,,,,,,,,,,,,,,,,
Linear interpolation,OOD-Near 120 ns,,-23.431175308227537,,,,,,,,,,,,,,,,,,,
