sample_index,true_cfr_power,rms_scale,absolute_prediction_mse,existing_nmse_db,total_uncertainty,normalized_absolute_prediction_mse,normalized_nmse_db,normalized_total_uncertainty,aleatoric,epistemic,normalized_aleatoric,normalized_epistemic,regime
0,1.8865152597427368,1.3735047578811646,0.12428261339664459,-17.83333396911621,0.0372312106192112,0.0658794641494751,-17.83333396911621,0.019735442474484444,0.032595034688711166,0.004636176396161318,0.017277907580137253,0.0024575344286859035,ID-Easy 20 ns
1,0.6629672050476074,0.8142279982566833,0.04717900604009628,-17.500625610351562,0.02194957807660103,0.07116341590881348,-17.500625610351562,0.03310808911919594,0.019540518522262573,0.002409059787169099,0.02947433665394783,0.0036337540950626135,ID-Easy 20 ns
2,1.528120994567871,1.2361719608306885,0.1043737381696701,-17.676504135131836,0.03130388632416725,0.06830201297998428,-17.676504135131836,0.02048521488904953,0.02752625197172165,0.0037776336539536715,0.018013136461377144,0.0024720774963498116,ID-Easy 20 ns
3,0.7047543525695801,0.8394964933395386,0.053929541260004044,-17.181459426879883,0.021139856427907944,0.07652246206998825,-17.181459426879883,0.02999606356024742,0.018831484019756317,0.0023083719424903393,0.02672063559293747,0.003275427734479308,ID-Easy 20 ns
4,0.8406726121902466,0.9168819785118103,0.05728765204548836,-17.686962127685547,0.019355762749910355,0.0681450292468071,-17.686962127685547,0.023024138063192368,0.017329759895801544,0.002026003086939454,0.02061416022479534,0.0024099787697196007,ID-Easy 20 ns
5,1.469306230545044,1.2121493816375732,0.10303198546171188,-17.561870574951172,0.027481717988848686,0.07012287527322769,-17.561870574951172,0.018703874200582504,0.02441299334168434,0.0030687241815030575,0.01661531999707222,0.00208855327218771,ID-Easy 20 ns
6,0.9169277548789978,0.9575634598731995,0.06676697731018066,-17.396711349487305,0.02144792675971985,0.07281596213579178,-17.396711349487305,0.023391075432300568,0.019095953553915024,0.0023519734386354685,0.02082601748406887,0.002565058646723628,ID-Easy 20 ns
7,0.8806461095809937,0.9384274482727051,0.07118924707174301,-16.945606231689453,0.023627035319805145,0.08083751797676086,-16.945606231689453,0.026829207316040993,0.020901544019579887,0.002725491765886545,0.023734329268336296,0.0030948773492127657,ID-Easy 20 ns
8,0.9184272885322571,0.9583461284637451,0.06729822605848312,-17.37066650390625,0.021813828498125076,0.07327549904584885,-17.37066650390625,0.023751286789774895,0.019397249445319176,0.002416579984128475,0.021120071411132812,0.002631215378642082,ID-Easy 20 ns
9,0.6785873174667358,0.8237640857696533,0.046480942517519,-17.663972854614258,0.020923804491758347,0.06849662959575653,-17.663972854614258,0.030834360048174858,0.018581856042146683,0.0023419491481035948,0.027383146807551384,0.003451212774962187,ID-Easy 20 ns
10,0.8909404873847961,0.9438964128494263,0.07286588102579117,-16.89407730102539,0.020837655290961266,0.08178535848855972,-16.89407730102539,0.02338838018476963,0.018572207540273666,0.00226544844917953,0.020845619961619377,0.0025427606888115406,ID-Easy 20 ns
11,1.0037152767181396,1.0018559694290161,0.07866986095905304,-17.07863426208496,0.023526471108198166,0.07837864756584167,-17.07863426208496,0.02343938872218132,0.020828066393733025,0.0026984054129570723,0.020750971511006355,0.002688417211174965,ID-Easy 20 ns
12,1.2173177003860474,1.1033211946487427,0.08674624562263489,-17.492223739624023,0.024596717208623886,0.07126016914844513,-17.492223739624023,0.0202056672424078,0.021862061694264412,0.0027346545830368996,0.01795920729637146,0.002246459247544408,ID-Easy 20 ns
13,2.231369972229004,1.4937770366668701,0.13976235687732697,-18.052223205566406,0.03249945864081383,0.06263522058725357,-18.052227020263672,0.014564801007509232,0.02856750227510929,0.0039319563657045364,0.012802674435079098,0.0017621265724301338,ID-Easy 20 ns
14,1.6048206090927124,1.266815185546875,0.1022869348526001,-17.975833892822266,0.030525509268045425,0.06373729556798935,-17.975833892822266,0.019021134823560715,0.027022093534469604,0.0035034166648983955,0.01683807745575905,0.0021830580662935972,ID-Easy 20 ns
