regime,retained_fraction,selected_count,mean_nmse_omitted_db,mean_total_uncertainty
ID-Easy 20 ns,0.1,20,-17.210411167144777,0.01887877155095339
ID-Easy 20 ns,0.2,40,-17.446386861801148,0.019333559507504105
ID-Easy 20 ns,0.3,60,-17.52065881093343,0.019861890375614165
ID-Easy 20 ns,0.4,80,-17.512157607078553,0.020341499522328377
ID-Easy 20 ns,0.5,100,-17.532961902618407,0.020769384577870368
ID-Easy 20 ns,0.6,120,-17.55194028218587,0.021191411837935447
ID-Easy 20 ns,0.7,140,-17.621114921569824,0.02162301999383739
ID-Easy 20 ns,0.8,160,-17.646284639835358,0.02211317839100957
ID-Easy 20 ns,0.9,180,-17.6836361779107,0.02271096714668804
ID-Easy 20 ns,1.0,200,-17.711843547821044,0.023561615934595465
ID-Hard 80 ns,0.1,20,-16.459407091140747,0.020461338572204113
ID-Hard 80 ns,0.2,40,-16.604232716560364,0.020924171060323717
ID-Hard 80 ns,0.3,60,-16.74405369758606,0.021256543478618065
ID-Hard 80 ns,0.4,80,-16.881228053569792,0.02156566148623824
ID-Hard 80 ns,0.5,100,-16.936526670455933,0.021850226130336523
ID-Hard 80 ns,0.6,120,-17.04903503259023,0.022127481689676643
ID-Hard 80 ns,0.7,140,-17.085362373079573,0.022377405980867997
ID-Hard 80 ns,0.8,160,-17.129245668649673,0.022666488168761136
ID-Hard 80 ns,0.9,180,-17.19804401927524,0.023018915392458438
ID-Hard 80 ns,1.0,200,-17.250189661979675,0.023466387959197164
OOD-Near 120 ns,0.1,20,-14.270803117752076,0.020913998130708933
OOD-Near 120 ns,0.2,40,-14.382676029205323,0.021282940171658993
OOD-Near 120 ns,0.3,60,-14.615521780649821,0.021619633305817842
OOD-Near 120 ns,0.4,80,-14.786211669445038,0.021903099888004363
OOD-Near 120 ns,0.5,100,-14.937671117782592,0.022182131204754114
OOD-Near 120 ns,0.6,120,-15.007183027267455,0.022446850299214324
OOD-Near 120 ns,0.7,140,-15.10260818345206,0.022715436441025565
OOD-Near 120 ns,0.8,160,-15.200165790319442,0.02298266546567902
OOD-Near 120 ns,0.9,180,-15.30465588569641,0.02327798536668221
OOD-Near 120 ns,1.0,200,-15.373365950584411,0.02368970151990652
OOD-Far 1 ms,0.1,20,1.6850202322006225,0.026440491154789924
OOD-Far 1 ms,0.2,40,1.642988583445549,0.027364371297881007
OOD-Far 1 ms,0.3,60,1.6138166983922322,0.027996727048108974
OOD-Far 1 ms,0.4,80,1.5775740817189217,0.028573992173187436
OOD-Far 1 ms,0.5,100,1.5707948231697082,0.029154444709420205
OOD-Far 1 ms,0.6,120,1.5662810772657394,0.029774529611070952
OOD-Far 1 ms,0.7,140,1.5599790487970624,0.03038074454026563
OOD-Far 1 ms,0.8,160,1.556438720226288,0.03104486302472651
OOD-Far 1 ms,0.9,180,1.563088677989112,0.031836872051159544
OOD-Far 1 ms,1.0,200,1.5547516804933548,0.03300980854779482
