delay_ns,scope_name,scope,seed,checkpoint,checkpoint_sha256,total_params,trainable_params,trainable_percent,trainable_names,epochs,batch_size,lr,lambda_reg,device,gpu,elapsed_seconds,sec_per_step_mean,sec_per_step_total,peak_allocated_vram_mib,frozen_parameter_max_diff,history,implementation_assumption
110,partial_small,last_block_plus_head,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,373656,3.162470419760108,"['residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,130.97155328304507,0.2924535508247403,109.6700815592776,161.5009765625,0.0,"[{'epoch': 1, 'train_loss': -2424.40271875, 'val_loss': -2528.78470703125, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_small/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2505.5594951171875, 'val_loss': -2475.2168505859377, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_small/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2491.736646484375, 'val_loss': -2508.9915576171875, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_small/adapted_epoch_3.pt'}]",True
110,partial_medium,last_4_blocks_plus_head,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,1480728,12.532271660860646,"['residual_blocks.28.net.0.weight', 'residual_blocks.28.net.0.bias', 'residual_blocks.28.net.3.weight', 'residual_blocks.28.net.3.bias', 'residual_blocks.29.net.0.weight', 'residual_blocks.29.net.0.bias', 'residual_blocks.29.net.3.weight', 'residual_blocks.29.net.3.bias', 'residual_blocks.30.net.0.weight', 'residual_blocks.30.net.0.bias', 'residual_blocks.30.net.3.weight', 'residual_blocks.30.net.3.bias', 'residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,141.46240401500836,0.32211293939361346,120.79235227260506,224.2255859375,0.0,"[{'epoch': 1, 'train_loss': -2479.7314921875, 'val_loss': -2573.3716796875, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_medium/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2545.7914443359373, 'val_loss': -2510.360732421875, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_medium/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2528.6710771484377, 'val_loss': -2545.077314453125, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_medium/adapted_epoch_3.pt'}]",True
110,partial_large,last_8_blocks_plus_head,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,2956824,25.025339982328028,"['residual_blocks.24.net.0.weight', 'residual_blocks.24.net.0.bias', 'residual_blocks.24.net.3.weight', 'residual_blocks.24.net.3.bias', 'residual_blocks.25.net.0.weight', 'residual_blocks.25.net.0.bias', 'residual_blocks.25.net.3.weight', 'residual_blocks.25.net.3.bias', 'residual_blocks.26.net.0.weight', 'residual_blocks.26.net.0.bias', 'residual_blocks.26.net.3.weight', 'residual_blocks.26.net.3.bias', 'residual_blocks.27.net.0.weight', 'residual_blocks.27.net.0.bias', 'residual_blocks.27.net.3.weight', 'residual_blocks.27.net.3.bias', 'residual_blocks.28.net.0.weight', 'residual_blocks.28.net.0.bias', 'residual_blocks.28.net.3.weight', 'residual_blocks.28.net.3.bias', 'residual_blocks.29.net.0.weight', 'residual_blocks.29.net.0.bias', 'residual_blocks.29.net.3.weight', 'residual_blocks.29.net.3.bias', 'residual_blocks.30.net.0.weight', 'residual_blocks.30.net.0.bias', 'residual_blocks.30.net.3.weight', 'residual_blocks.30.net.3.bias', 'residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,158.32580869598314,0.3674733272989591,137.80249773710966,309.3583984375,0.0,"[{'epoch': 1, 'train_loss': -2492.149142578125, 'val_loss': -2580.123134765625, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_large/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2553.7012216796875, 'val_loss': -2533.527587890625, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_large/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2541.28666015625, 'val_loss': -2556.727939453125, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/partial_large/adapted_epoch_3.pt'}]",True
110,full,full,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,11815320,100.0,"['input_projection.weight', 'input_projection.bias', 'residual_blocks.0.net.0.weight', 'residual_blocks.0.net.0.bias', 'residual_blocks.0.net.3.weight', 'residual_blocks.0.net.3.bias', 'residual_blocks.1.net.0.weight', 'residual_blocks.1.net.0.bias', 'residual_blocks.1.net.3.weight', 'residual_blocks.1.net.3.bias', 'residual_blocks.2.net.0.weight', 'residual_blocks.2.net.0.bias', 'residual_blocks.2.net.3.weight', 'residual_blocks.2.net.3.bias', 'residual_blocks.3.net.0.weight', 'residual_blocks.3.net.0.bias', 'residual_blocks.3.net.3.weight', 'residual_blocks.3.net.3.bias', 'residual_blocks.4.net.0.weight', 'residual_blocks.4.net.0.bias', 'residual_blocks.4.net.3.weight', 'residual_blocks.4.net.3.bias', 'residual_blocks.5.net.0.weight', 'residual_blocks.5.net.0.bias', 'residual_blocks.5.net.3.weight', 'residual_blocks.5.net.3.bias', 'residual_blocks.6.net.0.weight', 'residual_blocks.6.net.0.bias', 'residual_blocks.6.net.3.weight', 'residual_blocks.6.net.3.bias', 'residual_blocks.7.net.0.weight', 'residual_blocks.7.net.0.bias', 'residual_blocks.7.net.3.weight', 'residual_blocks.7.net.3.bias', 'residual_blocks.8.net.0.weight', 'residual_blocks.8.net.0.bias', 'residual_blocks.8.net.3.weight', 'residual_blocks.8.net.3.bias', 'residual_blocks.9.net.0.weight', 'residual_blocks.9.net.0.bias', 'residual_blocks.9.net.3.weight', 'residual_blocks.9.net.3.bias', 'residual_blocks.10.net.0.weight', 'residual_blocks.10.net.0.bias', 'residual_blocks.10.net.3.weight', 'residual_blocks.10.net.3.bias', 'residual_blocks.11.net.0.weight', 'residual_blocks.11.net.0.bias', 'residual_blocks.11.net.3.weight', 'residual_blocks.11.net.3.bias', 'residual_blocks.12.net.0.weight', 'residual_blocks.12.net.0.bias', 'residual_blocks.12.net.3.weight', 'residual_blocks.12.net.3.bias', 'residual_blocks.13.net.0.weight', 'residual_blocks.13.net.0.bias', 'residual_blocks.13.net.3.weight', 'residual_blocks.13.net.3.bias', 'residual_blocks.14.net.0.weight', 'residual_blocks.14.net.0.bias', 'residual_blocks.14.net.3.weight', 'residual_blocks.14.net.3.bias', 'residual_blocks.15.net.0.weight', 'residual_blocks.15.net.0.bias', 'residual_blocks.15.net.3.weight', 'residual_blocks.15.net.3.bias', 'residual_blocks.16.net.0.weight', 'residual_blocks.16.net.0.bias', 'residual_blocks.16.net.3.weight', 'residual_blocks.16.net.3.bias', 'residual_blocks.17.net.0.weight', 'residual_blocks.17.net.0.bias', 'residual_blocks.17.net.3.weight', 'residual_blocks.17.net.3.bias', 'residual_blocks.18.net.0.weight', 'residual_blocks.18.net.0.bias', 'residual_blocks.18.net.3.weight', 'residual_blocks.18.net.3.bias', 'residual_blocks.19.net.0.weight', 'residual_blocks.19.net.0.bias', 'residual_blocks.19.net.3.weight', 'residual_blocks.19.net.3.bias', 'residual_blocks.20.net.0.weight', 'residual_blocks.20.net.0.bias', 'residual_blocks.20.net.3.weight', 'residual_blocks.20.net.3.bias', 'residual_blocks.21.net.0.weight', 'residual_blocks.21.net.0.bias', 'residual_blocks.21.net.3.weight', 'residual_blocks.21.net.3.bias', 'residual_blocks.22.net.0.weight', 'residual_blocks.22.net.0.bias', 'residual_blocks.22.net.3.weight', 'residual_blocks.22.net.3.bias', 'residual_blocks.23.net.0.weight', 'residual_blocks.23.net.0.bias', 'residual_blocks.23.net.3.weight', 'residual_blocks.23.net.3.bias', 'residual_blocks.24.net.0.weight', 'residual_blocks.24.net.0.bias', 'residual_blocks.24.net.3.weight', 'residual_blocks.24.net.3.bias', 'residual_blocks.25.net.0.weight', 'residual_blocks.25.net.0.bias', 'residual_blocks.25.net.3.weight', 'residual_blocks.25.net.3.bias', 'residual_blocks.26.net.0.weight', 'residual_blocks.26.net.0.bias', 'residual_blocks.26.net.3.weight', 'residual_blocks.26.net.3.bias', 'residual_blocks.27.net.0.weight', 'residual_blocks.27.net.0.bias', 'residual_blocks.27.net.3.weight', 'residual_blocks.27.net.3.bias', 'residual_blocks.28.net.0.weight', 'residual_blocks.28.net.0.bias', 'residual_blocks.28.net.3.weight', 'residual_blocks.28.net.3.bias', 'residual_blocks.29.net.0.weight', 'residual_blocks.29.net.0.bias', 'residual_blocks.29.net.3.weight', 'residual_blocks.29.net.3.bias', 'residual_blocks.30.net.0.weight', 'residual_blocks.30.net.0.bias', 'residual_blocks.30.net.3.weight', 'residual_blocks.30.net.3.bias', 'residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,261.5897390960017,0.6435529927259,241.33237227221252,816.1630859375,0.0,"[{'epoch': 1, 'train_loss': -2414.227142578125, 'val_loss': -2488.404873046875, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/full/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2497.42278125, 'val_loss': -2456.4558447265626, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/full/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2480.9126279296875, 'val_loss': -2512.2061572265625, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_110ns/full/adapted_epoch_3.pt'}]",True
120,partial_small,last_block_plus_head,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,373656,3.162470419760108,"['residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,129.69441994902445,0.2897152450646584,108.64321689924691,161.5009765625,0.0,"[{'epoch': 1, 'train_loss': -2332.3653896484375, 'val_loss': -2464.99734375, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_small/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2438.18126953125, 'val_loss': -2413.292529296875, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_small/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2423.9818037109376, 'val_loss': -2448.4136962890625, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_small/adapted_epoch_3.pt'}]",True
120,partial_medium,last_4_blocks_plus_head,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,1480728,12.532271660860646,"['residual_blocks.28.net.0.weight', 'residual_blocks.28.net.0.bias', 'residual_blocks.28.net.3.weight', 'residual_blocks.28.net.3.bias', 'residual_blocks.29.net.0.weight', 'residual_blocks.29.net.0.bias', 'residual_blocks.29.net.3.weight', 'residual_blocks.29.net.3.bias', 'residual_blocks.30.net.0.weight', 'residual_blocks.30.net.0.bias', 'residual_blocks.30.net.3.weight', 'residual_blocks.30.net.3.bias', 'residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,142.17035065899836,0.3231411866187118,121.17794498201692,224.2255859375,0.0,"[{'epoch': 1, 'train_loss': -2412.04495703125, 'val_loss': -2520.87845703125, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_medium/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2492.6629697265626, 'val_loss': -2465.536328125, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_medium/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2476.6049873046877, 'val_loss': -2488.3454638671874, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_medium/adapted_epoch_3.pt'}]",True
120,partial_large,last_8_blocks_plus_head,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,2956824,25.025339982328028,"['residual_blocks.24.net.0.weight', 'residual_blocks.24.net.0.bias', 'residual_blocks.24.net.3.weight', 'residual_blocks.24.net.3.bias', 'residual_blocks.25.net.0.weight', 'residual_blocks.25.net.0.bias', 'residual_blocks.25.net.3.weight', 'residual_blocks.25.net.3.bias', 'residual_blocks.26.net.0.weight', 'residual_blocks.26.net.0.bias', 'residual_blocks.26.net.3.weight', 'residual_blocks.26.net.3.bias', 'residual_blocks.27.net.0.weight', 'residual_blocks.27.net.0.bias', 'residual_blocks.27.net.3.weight', 'residual_blocks.27.net.3.bias', 'residual_blocks.28.net.0.weight', 'residual_blocks.28.net.0.bias', 'residual_blocks.28.net.3.weight', 'residual_blocks.28.net.3.bias', 'residual_blocks.29.net.0.weight', 'residual_blocks.29.net.0.bias', 'residual_blocks.29.net.3.weight', 'residual_blocks.29.net.3.bias', 'residual_blocks.30.net.0.weight', 'residual_blocks.30.net.0.bias', 'residual_blocks.30.net.3.weight', 'residual_blocks.30.net.3.bias', 'residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,162.81868755299365,0.377604376805791,141.60164130217163,309.3583984375,0.0,"[{'epoch': 1, 'train_loss': -2434.351435546875, 'val_loss': -2541.47525390625, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_large/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2504.560626953125, 'val_loss': -2477.1457861328126, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_large/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2492.9495439453126, 'val_loss': -2517.7996728515627, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/partial_large/adapted_epoch_3.pt'}]",True
120,full,full,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,11815320,100.0,"['input_projection.weight', 'input_projection.bias', 'residual_blocks.0.net.0.weight', 'residual_blocks.0.net.0.bias', 'residual_blocks.0.net.3.weight', 'residual_blocks.0.net.3.bias', 'residual_blocks.1.net.0.weight', 'residual_blocks.1.net.0.bias', 'residual_blocks.1.net.3.weight', 'residual_blocks.1.net.3.bias', 'residual_blocks.2.net.0.weight', 'residual_blocks.2.net.0.bias', 'residual_blocks.2.net.3.weight', 'residual_blocks.2.net.3.bias', 'residual_blocks.3.net.0.weight', 'residual_blocks.3.net.0.bias', 'residual_blocks.3.net.3.weight', 'residual_blocks.3.net.3.bias', 'residual_blocks.4.net.0.weight', 'residual_blocks.4.net.0.bias', 'residual_blocks.4.net.3.weight', 'residual_blocks.4.net.3.bias', 'residual_blocks.5.net.0.weight', 'residual_blocks.5.net.0.bias', 'residual_blocks.5.net.3.weight', 'residual_blocks.5.net.3.bias', 'residual_blocks.6.net.0.weight', 'residual_blocks.6.net.0.bias', 'residual_blocks.6.net.3.weight', 'residual_blocks.6.net.3.bias', 'residual_blocks.7.net.0.weight', 'residual_blocks.7.net.0.bias', 'residual_blocks.7.net.3.weight', 'residual_blocks.7.net.3.bias', 'residual_blocks.8.net.0.weight', 'residual_blocks.8.net.0.bias', 'residual_blocks.8.net.3.weight', 'residual_blocks.8.net.3.bias', 'residual_blocks.9.net.0.weight', 'residual_blocks.9.net.0.bias', 'residual_blocks.9.net.3.weight', 'residual_blocks.9.net.3.bias', 'residual_blocks.10.net.0.weight', 'residual_blocks.10.net.0.bias', 'residual_blocks.10.net.3.weight', 'residual_blocks.10.net.3.bias', 'residual_blocks.11.net.0.weight', 'residual_blocks.11.net.0.bias', 'residual_blocks.11.net.3.weight', 'residual_blocks.11.net.3.bias', 'residual_blocks.12.net.0.weight', 'residual_blocks.12.net.0.bias', 'residual_blocks.12.net.3.weight', 'residual_blocks.12.net.3.bias', 'residual_blocks.13.net.0.weight', 'residual_blocks.13.net.0.bias', 'residual_blocks.13.net.3.weight', 'residual_blocks.13.net.3.bias', 'residual_blocks.14.net.0.weight', 'residual_blocks.14.net.0.bias', 'residual_blocks.14.net.3.weight', 'residual_blocks.14.net.3.bias', 'residual_blocks.15.net.0.weight', 'residual_blocks.15.net.0.bias', 'residual_blocks.15.net.3.weight', 'residual_blocks.15.net.3.bias', 'residual_blocks.16.net.0.weight', 'residual_blocks.16.net.0.bias', 'residual_blocks.16.net.3.weight', 'residual_blocks.16.net.3.bias', 'residual_blocks.17.net.0.weight', 'residual_blocks.17.net.0.bias', 'residual_blocks.17.net.3.weight', 'residual_blocks.17.net.3.bias', 'residual_blocks.18.net.0.weight', 'residual_blocks.18.net.0.bias', 'residual_blocks.18.net.3.weight', 'residual_blocks.18.net.3.bias', 'residual_blocks.19.net.0.weight', 'residual_blocks.19.net.0.bias', 'residual_blocks.19.net.3.weight', 'residual_blocks.19.net.3.bias', 'residual_blocks.20.net.0.weight', 'residual_blocks.20.net.0.bias', 'residual_blocks.20.net.3.weight', 'residual_blocks.20.net.3.bias', 'residual_blocks.21.net.0.weight', 'residual_blocks.21.net.0.bias', 'residual_blocks.21.net.3.weight', 'residual_blocks.21.net.3.bias', 'residual_blocks.22.net.0.weight', 'residual_blocks.22.net.0.bias', 'residual_blocks.22.net.3.weight', 'residual_blocks.22.net.3.bias', 'residual_blocks.23.net.0.weight', 'residual_blocks.23.net.0.bias', 'residual_blocks.23.net.3.weight', 'residual_blocks.23.net.3.bias', 'residual_blocks.24.net.0.weight', 'residual_blocks.24.net.0.bias', 'residual_blocks.24.net.3.weight', 'residual_blocks.24.net.3.bias', 'residual_blocks.25.net.0.weight', 'residual_blocks.25.net.0.bias', 'residual_blocks.25.net.3.weight', 'residual_blocks.25.net.3.bias', 'residual_blocks.26.net.0.weight', 'residual_blocks.26.net.0.bias', 'residual_blocks.26.net.3.weight', 'residual_blocks.26.net.3.bias', 'residual_blocks.27.net.0.weight', 'residual_blocks.27.net.0.bias', 'residual_blocks.27.net.3.weight', 'residual_blocks.27.net.3.bias', 'residual_blocks.28.net.0.weight', 'residual_blocks.28.net.0.bias', 'residual_blocks.28.net.3.weight', 'residual_blocks.28.net.3.bias', 'residual_blocks.29.net.0.weight', 'residual_blocks.29.net.0.bias', 'residual_blocks.29.net.3.weight', 'residual_blocks.29.net.3.bias', 'residual_blocks.30.net.0.weight', 'residual_blocks.30.net.0.bias', 'residual_blocks.30.net.3.weight', 'residual_blocks.30.net.3.bias', 'residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,271.2508434629999,0.6653784449518038,249.5169168569264,816.1630859375,0.0,"[{'epoch': 1, 'train_loss': -2382.4670380859375, 'val_loss': -2496.25681640625, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/full/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2462.923990234375, 'val_loss': -2421.239345703125, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/full/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2433.039171875, 'val_loss': -2448.338740234375, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_120ns/full/adapted_epoch_3.pt'}]",True
140,partial_small,last_block_plus_head,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,373656,3.162470419760108,"['residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,136.2633959390223,0.3050226067295298,114.38347752357367,161.5009765625,0.0,"[{'epoch': 1, 'train_loss': -2094.1526337890623, 'val_loss': -2264.7307470703126, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_140ns/partial_small/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2253.2520498046874, 'val_loss': -2221.5303173828124, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_140ns/partial_small/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2251.310962890625, 'val_loss': -2259.6084521484377, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_140ns/partial_small/adapted_epoch_3.pt'}]",True
140,partial_medium,last_4_blocks_plus_head,20260921,runs/current_valid_baseline/training_convergence_100k_5ep_20260916_final_controlled/uacp_predictor_100k_5ep_epoch_3.pt,d3c864788ee7e0e58bbe9f683aa47615039a470258ff054ec2828179b1f23986,11815320,1480728,12.532271660860646,"['residual_blocks.28.net.0.weight', 'residual_blocks.28.net.0.bias', 'residual_blocks.28.net.3.weight', 'residual_blocks.28.net.3.bias', 'residual_blocks.29.net.0.weight', 'residual_blocks.29.net.0.bias', 'residual_blocks.29.net.3.weight', 'residual_blocks.29.net.3.bias', 'residual_blocks.30.net.0.weight', 'residual_blocks.30.net.0.bias', 'residual_blocks.30.net.3.weight', 'residual_blocks.30.net.3.bias', 'residual_blocks.31.net.0.weight', 'residual_blocks.31.net.0.bias', 'residual_blocks.31.net.3.weight', 'residual_blocks.31.net.3.bias', 'gamma_head.weight', 'gamma_head.bias', 'psi_head.weight', 'psi_head.bias', 'kappa_head.weight', 'kappa_head.bias', 'nu_head.weight', 'nu_head.bias']",3,8,0.0001,0.001,cuda:0,NVIDIA GB10,150.96269895101432,0.343859485132775,128.9473069247906,224.2255859375,0.0,"[{'epoch': 1, 'train_loss': -2233.22505078125, 'val_loss': -2360.96830078125, 'optimizer_steps': 125, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_140ns/partial_medium/adapted_epoch_1.pt'}, {'epoch': 2, 'train_loss': -2344.7293701171875, 'val_loss': -2308.8168359375, 'optimizer_steps': 250, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_140ns/partial_medium/adapted_epoch_2.pt'}, {'epoch': 3, 'train_loss': -2335.780748046875, 'val_loss': -2334.6478515625, 'optimizer_steps': 375, 'checkpoint': 'runs/uncertainty_guided_adaptation_20260923_v8/runs/delay_140ns/partial_medium/adapted_epoch_3.pt'}]",True
